date,copper
4/1/2004,2948.73
5/1/2004,2733.50
6/1/2004,2686.71
7/1/2004,2808.43
8/1/2004,2846.10
9/1/2004,2894.86
10/1/2004,3012.24
11/1/2004,3122.80
12/1/2004,3145.45
1/1/2005,3170.00
2/1/2005,3253.70
3/1/2005,3379.49
4/1/2005,3394.48
5/1/2005,3249.10
6/1/2005,3524.07
7/1/2005,3614.21
8/1/2005,3797.75
9/1/2005,3857.84
10/1/2005,4059.76
11/1/2005,4269.34
12/1/2005,4576.78
1/1/2006,4734.33
2/1/2006,4982.40
3/1/2006,5102.85
4/1/2006,6387.78
5/1/2006,8045.86
6/1/2006,7197.61
7/1/2006,7712.10
8/1/2006,7695.66
9/1/2006,7602.36
10/1/2006,7500.39
11/1/2006,7029.18
12/1/2006,6675.11
1/1/2007,5669.66
2/1/2007,5676.45
3/1/2007,6452.48
4/1/2007,7766.47
5/1/2007,7681.42
6/1/2007,7474.38
7/1/2007,7972.57
8/1/2007,7513.50
9/1/2007,7648.98
10/1/2007,8008.44
11/1/2007,6966.71
12/1/2007,6587.67
1/1/2008,7061.02
2/1/2008,7887.69
3/1/2008,8439.29
4/1/2008,8684.93
5/1/2008,8382.75
6/1/2008,8260.60
7/1/2008,8414.04
8/1/2008,7634.70
9/1/2008,6990.86
10/1/2008,4925.70
11/1/2008,3717.00
12/1/2008,3071.98
1/1/2009,3220.69
2/1/2009,3314.73
3/1/2009,3749.75
4/1/2009,4406.55
5/1/2009,4568.63
6/1/2009,5013.96
7/1/2009,5215.54
8/1/2009,6165.30
9/1/2009,6196.43
10/1/2009,6287.98
11/1/2009,6675.60
12/1/2009,6981.71
1/1/2010,7386.25
2/1/2010,6848.18
3/1/2010,7462.83
4/1/2010,7745.08
5/1/2010,6837.68
6/1/2010,6499.30
7/1/2010,6735.25
8/1/2010,7283.95
9/1/2010,7709.30
10/1/2010,8292.41
11/1/2010,8469.89
12/1/2010,9147.26
1/1/2011,9555.70
2/1/2011,9867.60
3/1/2011,9503.36
4/1/2011,9492.79
5/1/2011,8959.90
6/1/2011,9066.85
7/1/2011,9650.46
8/1/2011,9000.76
9/1/2011,8300.14
10/1/2011,7394.19
11/1/2011,7581.02
12/1/2011,7565.48
1/1/2012,8040.47
2/1/2012,8441.49
3/1/2012,8470.78
4/1/2012,8289.48
5/1/2012,7955.64
6/1/2012,7423.02
7/1/2012,7584.26
8/1/2012,7515.53
9/1/2012,8087.74
10/1/2012,8062.03
11/1/2012,7711.23
12/1/2012,7966.49
1/1/2013,8047.36
2/1/2013,8060.93
3/1/2013,7645.58
4/1/2013,7234.28
5/1/2013,7249.41
6/1/2013,7000.24
7/1/2013,6906.64
8/1/2013,7192.92
9/1/2013,7159.27
10/1/2013,7203.02
11/1/2013,7070.65
12/1/2013,7214.90
1/1/2014,7291.47
2/1/2014,7149.21
3/1/2014,6650.04
4/1/2014,6673.56
5/1/2014,6891.13
6/1/2014,6821.14
7/1/2014,7113.38
8/1/2014,7001.84
9/1/2014,6872.22
10/1/2014,6737.48
11/1/2014,6712.85
12/1/2014,6446.45
1/1/2015,5830.54
2/1/2015,5729.27
3/1/2015,5939.67
4/1/2015,6042.09
5/1/2015,6294.78
6/1/2015,5833.01
7/1/2015,5456.75
8/1/2015,5127.30
9/1/2015,5217.25
10/1/2015,5216.09
11/1/2015,4799.90
12/1/2015,4638.83
1/1/2016,4471.79
2/1/2016,4598.62
3/1/2016,4953.80
4/1/2016,4872.74
5/1/2016,4694.54
6/1/2016,4641.97
7/1/2016,4864.90
8/1/2016,4751.67
9/1/2016,4722.20
10/1/2016,4731.26
11/1/2016,5450.93
12/1/2016,5660.35
1/1/2017,5754.56
2/1/2017,5940.91
3/1/2017,5824.63
4/1/2017,5683.90
5/1/2017,5599.56
6/1/2017,5719.76
7/1/2017,5985.12
8/1/2017,6485.63
9/1/2017,6577.17
10/1/2017,6807.60
11/1/2017,6826.55
12/1/2017,6833.89
1/1/2018,7065.85
2/1/2018,7006.52
3/1/2018,6799.18
4/1/2018,6851.51
5/1/2018,6825.27
6/1/2018,6965.86
7/1/2018,6250.75
8/1/2018,6051.05
9/1/2018,6050.76
10/1/2018,6219.59
11/1/2018,6195.92
12/1/2018,6075.32
1/1/2019,5939.10
2/1/2019,6300.49
3/1/2019,6439.46
4/1/2019,6438.36
5/1/2019,6017.90
6/1/2019,5882.23
7/1/2019,5941.20
8/1/2019,5709.44
9/1/2019,5759.25
10/1/2019,5757.30
11/1/2019,5859.95
12/1/2019,6077.06
1/1/2020,6031.21
2/1/2020,5687.75
3/1/2020,5182.63
4/1/2020,5057.97
5/1/2020,5239.83
6/1/2020,5754.60
7/1/2020,6372.46
8/1/2020,6498.94
9/1/2020,6704.90
10/1/2020,6713.81
11/1/2020,7068.91
12/1/2020,7772.24
1/1/2021,7972.15
2/1/2021,8470.94
3/1/2021,8988.25
4/1/2021,9324.82
5/1/2021,10161.97
6/1/2021,9631.50
7/1/2021,9450.82
8/1/2021,9370.14
9/1/2021,9324.71
10/1/2021,9829.22
11/1/2021,9728.90
12/1/2021,9551.18
1/1/2022,9782.34
2/1/2022,9943.17
3/1/2022,10230.89
4/1/2022,10161.38
5/1/2022,9377.15
6/1/2022,9024.46
7/1/2022,7544.81
8/1/2022,7981.84
9/1/2022,7746.01
10/1/2022,7651.08
11/1/2022,8049.86
12/1/2022,8375.40
1/1/2023,9037.95
2/1/2023,8936.59
3/1/2023,8856.31
4/1/2023,8809.42
5/1/2023,8217.47
6/1/2023,8396.52
7/1/2023,8476.68
8/1/2023,8349.13
9/1/2023,8276.71
10/1/2023,7937.18
11/1/2023,8189.59
12/1/2023,8399.94
1/1/2024,8338.88
2/1/2024,8304.95
3/1/2024,8689.13
4/1/2024,9464.43
5/1/2024,10139.33
6/1/2024,9648.17
7/1/2024,9385.31
8/1/2024,8971.96
9/1/2024,9237.48
10/1/2024,9533.99
11/1/2024,9075.73
12/1/2024,8916.32
1/1/2025,8991.41
2/1/2025,9330.60
3/1/2025,9739.68
4/1/2025,9176.80
5/1/2025,9532.98
6/1/2025,9835.07
7/1/2025,9770.58
8/1/2025,9669.56
9/1/2025,9983.79
10/1/2025,10739.91
11/1/2025,10812.03
12/1/2025,11785.25
1/1/2026,13012.00
2/1/2026,12951.35
3/1/2026,12528.71
