"date","SPY","XLB","XLE","XLF","XLI","XLK","XLP","XLU","XLV","XLY"
1993-11-09,NA,NA,46.1563,NA,NA,NA,NA,NA,NA,NA
1993-11-10,NA,NA,46.5,NA,NA,NA,NA,NA,NA,NA
1993-11-11,NA,NA,46.375,NA,NA,NA,NA,NA,NA,NA
1993-11-12,NA,NA,46.5938,NA,NA,NA,NA,NA,NA,NA
1993-11-15,NA,NA,46.5625,NA,NA,NA,NA,NA,NA,NA
1993-11-16,NA,NA,46.7813,NA,NA,NA,NA,NA,NA,NA
1993-11-17,NA,NA,46.5313,NA,NA,NA,NA,NA,NA,NA
1993-11-18,NA,NA,46.4063,NA,NA,NA,NA,NA,NA,NA
1993-11-19,NA,NA,46.3125,NA,NA,NA,NA,NA,NA,NA
1993-11-22,NA,NA,46.0313,NA,NA,NA,NA,NA,NA,NA
1993-11-23,NA,NA,46.2813,NA,NA,NA,NA,NA,NA,NA
1993-11-24,NA,NA,46.4688,NA,NA,NA,NA,NA,NA,NA
1993-11-26,NA,NA,46.5,NA,NA,NA,NA,NA,NA,NA
1993-11-29,NA,NA,46.3125,NA,NA,NA,NA,NA,NA,NA
1993-11-30,NA,NA,46.3438,NA,NA,NA,NA,NA,NA,NA
1993-12-01,NA,NA,46.4063,NA,NA,NA,NA,NA,NA,NA
1993-12-02,NA,NA,46.5313,NA,NA,NA,NA,NA,NA,NA
1993-12-03,NA,NA,46.7188,NA,NA,NA,NA,NA,NA,NA
1993-12-06,NA,NA,46.875,NA,NA,NA,NA,NA,NA,NA
1993-12-07,NA,NA,46.8438,NA,NA,NA,NA,NA,NA,NA
1993-12-08,NA,NA,46.8438,NA,NA,NA,NA,NA,NA,NA
1993-12-09,NA,NA,46.6875,NA,NA,NA,NA,NA,NA,NA
1993-12-10,NA,NA,46.5938,NA,NA,NA,NA,NA,NA,NA
1993-12-13,NA,NA,46.875,NA,NA,NA,NA,NA,NA,NA
1993-12-14,NA,NA,46.5313,NA,NA,NA,NA,NA,NA,NA
1993-12-15,NA,NA,46.4688,NA,NA,NA,NA,NA,NA,NA
1993-12-16,NA,NA,46.625,NA,NA,NA,NA,NA,NA,NA
1993-12-17,NA,NA,46.5625,NA,NA,NA,NA,NA,NA,NA
1993-12-20,NA,NA,46.625,NA,NA,NA,NA,NA,NA,NA
1993-12-21,NA,NA,46.4688,NA,NA,NA,NA,NA,NA,NA
1993-12-22,NA,NA,46.7813,NA,NA,NA,NA,NA,NA,NA
1993-12-23,NA,NA,46.75,NA,NA,NA,NA,NA,NA,NA
1993-12-27,NA,NA,47,NA,NA,NA,NA,NA,NA,NA
1993-12-28,NA,NA,47.0938,NA,NA,NA,NA,NA,NA,NA
1993-12-29,NA,NA,47.0313,NA,NA,NA,NA,NA,NA,NA
1993-12-30,NA,NA,46.8438,NA,NA,NA,NA,NA,NA,NA
1993-12-31,NA,NA,46.5938,NA,NA,NA,NA,NA,NA,NA
1994-01-03,NA,NA,46.4688,NA,NA,NA,NA,NA,NA,NA
1994-01-04,NA,NA,46.6563,NA,NA,NA,NA,NA,NA,NA
1994-01-05,NA,NA,46.75,NA,NA,NA,NA,NA,NA,NA
1994-01-06,NA,NA,46.75,NA,NA,NA,NA,NA,NA,NA
1994-01-07,NA,NA,47.0313,NA,NA,NA,NA,NA,NA,NA
1994-01-10,NA,NA,47.5938,NA,NA,NA,NA,NA,NA,NA
1994-01-11,NA,NA,47.5,NA,NA,NA,NA,NA,NA,NA
1994-01-12,NA,NA,47.3438,NA,NA,NA,NA,NA,NA,NA
1994-01-13,NA,NA,47.2188,NA,NA,NA,NA,NA,NA,NA
1994-01-14,NA,NA,47.4063,NA,NA,NA,NA,NA,NA,NA
1994-01-17,NA,NA,47.4063,NA,NA,NA,NA,NA,NA,NA
1994-01-18,NA,NA,47.4688,NA,NA,NA,NA,NA,NA,NA
1994-01-19,NA,NA,47.3438,NA,NA,NA,NA,NA,NA,NA
1994-01-20,NA,NA,47.4688,NA,NA,NA,NA,NA,NA,NA
1994-01-21,NA,NA,47.375,NA,NA,NA,NA,NA,NA,NA
1994-01-24,NA,NA,47.1875,NA,NA,NA,NA,NA,NA,NA
1994-01-25,NA,NA,47.1875,NA,NA,NA,NA,NA,NA,NA
1994-01-26,NA,NA,47.3125,NA,NA,NA,NA,NA,NA,NA
1994-01-27,NA,NA,47.75,NA,NA,NA,NA,NA,NA,NA
1994-01-28,NA,NA,47.875,NA,NA,NA,NA,NA,NA,NA
1994-01-31,NA,NA,48.2188,NA,NA,NA,NA,NA,NA,NA
1994-02-01,NA,NA,47.9688,NA,NA,NA,NA,NA,NA,NA
1994-02-02,NA,NA,48.2813,NA,NA,NA,NA,NA,NA,NA
1994-02-03,NA,NA,48.0625,NA,NA,NA,NA,NA,NA,NA
1994-02-04,NA,NA,46.9688,NA,NA,NA,NA,NA,NA,NA
1994-02-07,NA,NA,47.1875,NA,NA,NA,NA,NA,NA,NA
