"date","stocks","bonds","gold","oil","usd"
2012-12-05,111.86767578125,77.9706878662109,164.119995117188,257.760009765625,18.2367935180664
2012-12-06,112.247116088867,77.9637222290039,164.5,253.279998779297,18.337043762207
2012-12-07,112.587142944336,77.8939819335938,165.160003662109,252.240005493164,18.3704605102539
2012-12-10,112.634536743164,77.9078903198242,165.800003051758,251.119995117188,18.3453960418701
2012-12-11,113.401428222656,77.8799896240234,165.649993896484,251.759994506836,18.278564453125
2012-12-12,113.456741333008,77.6637496948242,165.770004272461,254.240005493164,18.2451515197754
2012-12-13,112.76106262207,77.538200378418,164.369995117188,252.639999389648,18.2618560791016
2012-12-14,112.34203338623,77.6777267456055,164.130004882812,254.479995727539,18.1699619293213
2012-12-17,113.662300109863,77.489372253418,164.440002441406,256.079986572266,18.1699619293213
2012-12-18,114.927200317383,77.3079605102539,162.080001831055,257.440002441406,18.1114864349365
2012-12-19,114.073356628418,77.4404754638672,161.690002441406,261.359985351562,18.1031322479248
2012-12-20,114.729598999023,77.4474868774414,159.729995727539,261.839996337891,18.0864219665527
2012-12-21,113.688179016113,77.5172653198242,160.330001831055,258.880004882812,18.1783199310303
2012-12-24,113.337821960449,77.5242385864258,160.619995117188,257.920013427734,18.1783199310303
2012-12-26,112.860130310059,77.6291198730469,160.779998779297,265.200012207031,18.1783199310303
2012-12-27,112.708869934082,77.6710357666016,161.160003662109,265.519989013672,18.1783199310303
2012-12-28,111.490661621094,77.7899169921875,160.539993286133,264.320007324219,18.1950244903564
2012-12-31,113.385581970215,77.6500778198242,162.020004272461,266.959991455078,18.2200889587402
2013-01-02,116.291709899902,77.5591583251953,163.169998168945,270.559997558594,18.2284412384033
2013-01-03,116.028945922852,77.3634490966797,161.199996948242,269.920013427734,18.3704605102539
2013-01-04,116.538551330566,77.4473419189453,160.440002441406,271.040008544922,18.3704605102539
2013-01-07,116.220108032227,77.405403137207,159.429992675781,271.359985351562,18.3119812011719
2013-01-08,115.885665893555,77.4752578735352,160.559997558594,271.679992675781,18.337043762207
2013-01-09,116.180252075195,77.4194030761719,160.490005493164,271.040008544922,18.3955211639404
2013-01-10,117.10383605957,77.4124069213867,161.979995727539,273.359985351562,18.2117309570312
2013-01-11,117.09587097168,77.4892730712891,161.059997558594,272.480010986328,18.1616077423096
2013-01-14,117.016242980957,77.5591583251953,161.539993286133,274.239990234375,18.136547088623
2013-01-15,117.09587097168,77.5801696777344,162.559997558594,271.920013427734,18.1866703033447
2013-01-16,117.07991027832,77.6221160888672,162.649993896484,274.239990234375,18.2033805847168
2013-01-17,117.836311340332,77.4543380737305,163.350006103516,277.359985351562,18.1699619293213
2013-01-18,118.099113464355,77.5452194213867,163.089996337891,278.160003662109,18.2535037994385
2013-01-22,118.736000061035,77.5032653808594,163.669998168945,280.079986572266,18.2367935180664
2013-01-23,118.927131652832,77.5871505737305,163.210006713867,276.880004882812,18.2367935180664
2013-01-24,118.958969116211,77.482307434082,161.419998168945,278.079986572266,18.2367935180664
2013-01-25,119.627784729004,77.2935333251953,160.649993896484,278.239990234375,18.1950244903564
2013-01-28,119.484428405762,77.1816940307617,160.289993286133,279.519989013672,18.2033805847168
2013-01-29,119.954223632812,77.1327896118164,160.990005493164,282.320007324219,18.1532573699951
2013-01-30,119.484428405762,77.0978393554688,162.190002441406,283.920013427734,18.078067779541
2013-01-31,119.189872741699,77.1677093505859,161.199996948242,282.239990234375,18.0613613128662
2013-02-01,120.416030883789,77.0003280639648,161.449996948242,282.799987792969,18.0446529388428
2013-02-04,119.062431335449,77.2174453735352,162,278.239990234375,18.136547088623
2013-02-05,120.26473236084,77.0563354492188,161.960006713867,280.239990234375,18.1281909942627
2013-02-06,120.35230255127,77.189453125,162.389999389648,280.320007324219,18.1866703033447
2013-02-07,120.193077087402,77.2174453735352,161.839996337891,277.440002441406,18.2869148254395
2013-02-08,120.861862182617,77.2384719848633,161.570007324219,277.600006103516,18.2952766418457
2013-02-11,120.837951660156,77.1614532470703,159.699996948242,280.959991455078,18.3119812011719
2013-02-12,121.037002563477,77.1473999023438,159.889999389648,282.239990234375,18.2702140808105
2013-02-13,121.140487670898,77.0703887939453,159.050003051758,281.519989013672,18.278564453125
2013-02-14,121.251976013184,77.2104034423828,158.350006103516,282.160003662109,18.3286895751953
2013-02-15,121.108657836914,77.2174453735352,155.759994506836,277.760009765625,18.3453960418701
2013-02-19,122.016296386719,77.1264038085938,155.330001831055,279.679992675781,18.3537483215332
2013-02-20,120.495635986328,77.1754150390625,151.440002441406,273.359985351562,18.4874134063721
2013-02-21,119.76309967041,77.2174453735352,152.619995117188,267.440002441406,18.5626010894775
2013-02-22,120.93350982666,77.2594909667969,152.970001220703,268.799987792969,18.5709552764893
2013-02-25,118.632530212402,77.5536346435547,154.339996337891,265.679992675781,18.6461391448975
2013-02-26,119.444625854492,77.5326538085938,156.220001220703,266.640014648438,18.6628513336182
2013-02-27,120.949424743652,77.5536346435547,154.570007324219,267.200012207031,18.5876636505127
2013-02-28,120.710563659668,77.6236190795898,153,264.480010986328,18.6879138946533
2013-03-01,121.108657836914,77.6510620117188,152.440002441406,261.920013427734,18.7463874816895
2013-03-04,121.753608703613,77.5949020385742,152.300003051758,259.200012207031,18.7380352020264
2013-03-05,122.844352722168,77.5317535400391,152.380004882812,261.519989013672,18.7129726409912
2013-03-06,123.011573791504,77.4476013183594,153.229995727539,260.320007324219,18.788158416748
2013-03-07,123.23445892334,77.2861175537109,152.690002441406,263.519989013672,18.7046184539795
2013-03-08,123.759971618652,77.0616073608398,152.710006713867,264.399993896484,18.8466396331787
2013-03-11,124.229789733887,77.1037445068359,152.990005493164,264.320007324219,18.8048667907715
2013-03-12,123.951049804688,77.2440719604492,154.190002441406,266.079986572266,18.7965145111084
2013-03-13,124.126243591309,77.1809234619141,153.660003662109,265.519989013672,18.8717002868652
2013-03-14,124.787094116211,77.2650833129883,153.679992675781,267.359985351562,18.7965145111084
2013-03-15,124.622268676758,77.3352508544922,154,268.799987792969,18.7129726409912
2013-03-18,123.934562683105,77.4054336547852,155.380004882812,269.200012207031,18.8299293518066
2013-03-19,123.646621704102,77.517692565918,156.080001831055,264.559997558594,18.8884105682373
2013-03-20,124.510398864746,77.4335327148438,155.369995117188,267.600006103516,18.8466396331787
2013-03-21,123.446769714355,77.4476013183594,156.25,264.399993896484,18.8466396331787
2013-03-22,124.438400268555,77.4756011962891,155.550003051758,268.880004882812,18.7296829223633
2013-03-25,123.918556213379,77.4476013183594,155.240005493164,270.799987792969,18.8633460998535
2013-03-26,124.910285949707,77.5387649536133,154.720001220703,275.600006103516,18.8549880981445
2013-03-27,124.910285949707,77.7001647949219,155.360000610352,276.399993896484,18.93017578125
2013-03-28,125.294082641602,77.7001647949219,154.449996948242,278,18.8800525665283
2013-04-01,124.79825592041,77.7704620361328,154.669998168945,277.440002441406,18.8132209777832
2013-04-02,125.414047241211,77.6860809326172,152.429992675781,277.200012207031,18.8549880981445
2013-04-03,124.142463684082,77.7704620361328,150.729995727539,270.079986572266,18.8132209777832
2013-04-04,124.64631652832,77.9885482788086,150.289993286133,267.119995117188,18.788158416748
2013-04-05,124.086502075195,78.2135696411133,152.809997558594,266.239990234375,18.7547454833984
2013-04-08,124.926254272461,78.0799407958984,152.160003662109,267.920013427734,18.8048667907715
2013-04-09,125.358085632324,78.1081237792969,153.339996337891,269.119995117188,18.7213268280029
2013-04-10,126.893562316895,77.9463348388672,150.75,270.640014648438,18.7380352020264
2013-04-11,127.309417724609,77.9603652954102,151.050003051758,267.679992675781,18.6879138946533
2013-04-12,126.997550964355,78.2135696411133,143.949996948242,260.239990234375,18.6628513336182
2013-04-15,124.05451965332,78.2487945556641,131.309997558594,251.919998168945,18.7213268280029
2013-04-16,125.885871887207,78.2487945556641,132.800003051758,254.080001831055,18.5709552764893
2013-04-17,124.046546936035,78.2487945556641,132.869995117188,248.080001831055,18.7714519500732
2013-04-18,123.270774841309,78.234748840332,134.300003051758,253.119995117188,18.7630958557129
2013-04-19,124.342460632324,78.2417449951172,135.470001220703,251.119995117188,18.7965145111084
2013-04-22,124.894256591797,78.3402099609375,137.899993896484,254.559997558594,18.788158416748
2013-04-23,126.181823730469,78.3050689697266,136.880004882812,254.880004882812,18.8549880981445
2013-04-24,126.261779785156,78.2909774780273,138.369995117188,261.279998779297,18.8466396331787
2013-04-25,126.773612976074,78.2557983398438,141.630004882812,266,18.8048667907715
2013-04-26,126.549697875977,78.417594909668,140.910003662109,264.959991455078,18.7213268280029
2013-04-29,127.397445678711,78.4667816162109,142.300003051758,268.880004882812,18.637788772583
2013-04-30,127.701362609863,78.4527816772461,142.770004272461,265.279998779297,18.5458946228027
