variable,F1,F2,F3,F4,F5,F6,F7
AMDMUOx,0.08701806056943939,0.09440523901191578,0.05892744043578191,7.774722140007073e-4,0.00931528553094263,0.04799327821235877,0.010207045205147147
BUSINVx,0.05187757848989494,0.14379912937249129,0.07345441464838887,6.812845365389286e-5,0.04387765270582766,0.13970991557595613,0.005229421422001335
ISRATIOx,0.23175948990324358,0.09739690911105936,1.0397568809816793e-4,0.001873015300700831,0.002266008183386181,0.06790251524937618,0.0426672091814283
M1SL,0.05788663962557705,8.374759537668197e-4,1.5064252890384378e-4,0.013768943316922577,0.012683125435752785,0.008474118749135284,0.008611471291570583
M2SL,0.06057719550205498,0.0020702514053051457,9.767925124304355e-8,0.02071641856860873,0.01066123902696281,0.027951517073729226,0.019140157995726992
M2REAL,1.0499916281103694e-5,0.004645285046929404,0.10142563255378556,0.018509169855515428,0.07731165574471899,5.709727268990994e-4,0.005477729148761212
BOGMBASE,0.02893401321314637,0.0709657466704634,0.022702721516392965,8.539970532562835e-4,0.0020610001565399827,0.012459335277305028,0.04061487419046883
TOTRESNS,0.021643166837320704,0.07049882526123041,0.017721255105472622,3.327094668698072e-4,0.0015645096029792693,0.004087897211818348,0.04382834730586738
NONBORRES,0.009175523795812435,0.014205720118525722,0.013879602596251317,4.8926061643861374e-5,4.4349360378126423e-4,0.0057173499907265946,0.0025242975416129854
BUSLOANS,0.0017798973411643493,9.394141196318317e-4,0.0045696357989124525,0.016441881825314808,0.009454547670385227,5.16534853699735e-4,0.01132746898138226
REALLN,1.4127843660294293e-4,0.0017868002664760407,0.01027534308948097,7.135149140706787e-4,0.0018211785373457579,4.0729685173790386e-4,0.020965307986708592
NONREVSL,0.0074715094084508715,0.003197034413002009,0.002510753055409376,5.044097914083112e-4,9.764152230106182e-4,0.0012411470441210382,0.006372326193303635
CONSPI,0.003321460828142886,0.0018819379351762144,0.003684742370074212,0.002139761914643823,0.03973496890089501,0.010915326224893551,3.051163744669516e-4
S&P 500,0.009240707036149987,0.06838860438643624,2.47543445741627e-8,0.058840019086384476,0.03368604013309218,0.014981874345984747,0.44993324093738296
S&P div yield,0.001346723808079875,0.08458997749540786,0.004422060958481522,0.08303208464594847,0.05318755977445089,0.028611312861044236,0.3425778638055348
S&P PE ratio,0.0012747212844366196,0.09514233145580953,0.006341051779815254,0.05052058041545071,0.028143842645050765,0.09556498818402448,0.2944135994423822
FEDFUNDS,0.10346352795713354,0.05357271668268926,0.040466434071475765,0.11766621423937318,5.437748373826601e-4,4.40874505929556e-4,0.031922446195176035
CP3Mx,0.07022157755553227,0.08227551580109016,0.03473466139129289,0.3286122879577198,0.001800415918928322,0.0037748073840873086,0.003820716055853768
TB3MS,0.06173270088718441,0.052997998053301965,0.039702203990403584,0.3318920907751508,3.258236013454763e-4,0.021030581536258475,0.048246970257847854
TB6MS,0.07118873117350433,0.07338934845900813,0.05128558407401862,0.4430294436264939,0.0015785923822704273,0.026894638593357834,0.03820538907535942
GS1,0.06271896472701222,0.079098174959221,0.0540824565500897,0.5112959140129485,0.004148971042949312,0.028793363679310402,0.02698666279731754
GS5,0.060439514094503655,0.045887552862582726,0.0565963685059121,0.5848542270349242,3.832207374575569e-4,0.043899765553165215,0.018710208666502526
GS10,0.04536264141312818,0.03818406095138782,0.051271700310793644,0.5241250615685249,0.0013971382042874403,0.045697256509325546,0.010033774730953904
