date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K,regime,max_p,G,turnover
2023-10-26,0.04508505,0.21739347,0.24976374,0.00000000,0.48775774,0.00264610,0.00164740,6,2,1.00000000,5,0.00000002
2023-10-27,0.04506654,0.21740065,0.24976907,0.00000000,0.48776374,0.00235871,0.00400611,6,2,1.00000000,5,0.00001851
2023-10-30,0.04504986,0.21740715,0.24977385,0.00000000,0.48776915,-0.00355726,0.00044885,6,2,1.00000000,5,0.00001668
2023-10-31,0.04503917,0.21741132,0.24977692,0.00000000,0.48777260,0.00139596,0.00184481,6,2,0.99999999,5,0.00001069
2023-11-01,0.22965870,0.16315730,0.24977052,0.05719575,0.30021773,0.00337431,0.00521912,6,3,0.99999766,5,0.24181529
2023-11-02,0.12552969,0.16315723,0.28548056,0.00000008,0.42583243,0.00216884,0.00738796,6,2,0.96023935,5,0.16132474
2023-11-03,0.17633418,0.15653853,0.28548051,0.07414338,0.30750341,-0.00031389,0.00707407,6,3,0.99996082,5,0.12494778
2023-11-06,0.14186765,0.15653440,0.28914390,0.00000000,0.41245405,-0.00250391,0.00457016,6,2,0.99999998,5,0.10861404
2023-11-07,0.19222025,0.15653428,0.28914399,0.06998957,0.29211191,-0.00174879,0.00282137,6,3,0.99999895,5,0.12034226
2023-11-08,0.13469790,0.15653462,0.28914576,0.00000005,0.41962167,-0.00227151,0.00054986,6,2,1.00000000,5,0.12751188
2023-11-09,0.20216141,0.15653457,0.28914583,0.07007941,0.28207879,-0.00075710,-0.00020723,6,3,0.99999998,5,0.13754294
2023-11-10,0.27214234,0.15653388,0.25252507,0.03672083,0.28207787,0.00222597,0.00201874,6,1,0.99956756,5,0.06998093
2023-11-13,0.27214432,0.15653509,0.25252737,0.06596547,0.25282774,0.00178052,0.00379926,6,3,0.99999991,5,0.02925014
2023-11-14,0.27214433,0.15653449,0.25252755,0.06596550,0.25282813,0.00549265,0.00929192,6,3,0.99999663,5,0.00000061
2023-11-15,0.19205127,0.15653449,0.27406834,0.00881834,0.36852757,-0.00042577,0.00886615,6,2,1.00000000,5,0.13724023
2023-11-16,0.25017994,0.15653444,0.27406833,0.06785752,0.25135977,0.00151271,0.01037886,6,3,1.00000000,5,0.11716785
2023-11-17,0.20602515,0.15653421,0.27406845,0.00480571,0.35856648,-0.00143007,0.00894878,6,2,0.99999999,5,0.10720683
2023-11-20,0.20438767,0.15653377,0.27406623,0.00479662,0.36021571,0.00027248,0.00922126,6,2,0.99994887,5,0.00164923
2023-11-21,0.24879363,0.15653372,0.27406622,0.07008110,0.25052534,0.00312251,0.01234377,6,3,0.99999999,5,0.10969044
2023-11-22,0.24879387,0.15653157,0.27406735,0.07008399,0.25052322,-0.00025228,0.01209149,6,3,1.00000000,5,0.00000426
2023-11-24,0.22795370,0.15653142,0.27406738,0.01247282,0.32897469,-0.00085352,0.01123797,6,2,1.00000000,5,0.07845149
2023-11-27,0.22795399,0.15653154,0.27406768,0.00725311,0.33419368,0.00180180,0.01303978,6,2,1.00000000,5,0.00521971
2023-11-28,0.22796682,0.15654742,0.27408192,0.00719431,0.33420952,0.00352601,0.01656579,6,2,1.00000000,5,0.00005880
2023-11-29,0.22796825,0.15654822,0.28127276,0.00000005,0.33421072,0.00136433,0.01793012,6,2,1.00000000,5,0.00719426
2023-11-30,0.22795649,0.15655219,0.28127669,0.00000008,0.33421455,0.00132198,0.01925210,6,2,1.00000000,5,0.00001176
2023-12-01,0.25766824,0.15655212,0.28127667,0.06127060,0.24323237,0.00625596,0.02550806,6,3,0.99999999,5,0.09098227
2023-12-04,0.28230220,0.15655300,0.28127759,0.06127035,0.21859685,-0.00804172,0.01746633,6,3,1.00000000,5,0.02463577
2023-12-05,0.28906341,0.15655349,0.28127693,0.06127005,0.21183612,-0.00013881,0.01732752,6,3,0.99999616,5,0.00676170
2023-12-06,0.27882948,0.15656116,0.29687293,0.00000000,0.26773643,0.00128322,0.01861074,6,2,0.99999950,5,0.07150398
2023-12-07,0.27880836,0.15656823,0.29687995,0.00000017,0.26774328,0.00101508,0.01962582,6,2,1.00000000,5,0.00002112
2023-12-08,0.27875163,0.15658733,0.29689873,0.00000044,0.26776187,-0.00285985,0.01676597,6,2,1.00000000,5,0.00005673
2023-12-11,0.30925245,0.15658732,0.29689870,0.03454353,0.20271801,-0.00165395,0.01511202,6,3,0.99999996,5,0.06504391
2023-12-12,0.29489895,0.15658717,0.30877881,0.00000000,0.23973508,0.00086698,0.01597899,6,2,0.99999986,5,0.04889718
2023-12-13,0.29485431,0.15660214,0.30879352,0.00000034,0.23974968,0.01115273,0.02713172,6,2,1.00000000,5,0.00004463
2023-12-14,0.21956707,0.23187225,0.30880143,0.00000015,0.23975909,0.00207540,0.02920713,6,0,0.99999274,5,0.07528743
2023-12-15,0.31416162,0.22469239,0.30880060,0.02255265,0.12979275,-0.00220771,0.02699941,6,3,0.99017951,5,0.11714704
2023-12-18,0.31958956,0.21556303,0.30878791,0.02626181,0.12979768,0.00271835,0.02971776,6,3,0.99999993,5,0.00914204
2023-12-19,0.28940343,0.21556312,0.30878795,0.00000000,0.18624550,0.00337521,0.03309297,6,2,1.00000000,5,0.05644794
2023-12-20,0.28938114,0.21557062,0.30879544,0.00000017,0.18625264,-0.00409453,0.02899845,6,2,1.00000000,5,0.00002230
2023-12-21,0.28935145,0.21558064,0.30880541,0.00000025,0.18626225,0.00357526,0.03257370,6,2,1.00000000,5,0.00002968
2023-12-22,0.28935150,0.21558078,0.30880545,0.00000002,0.18626225,0.00157606,0.03414976,6,2,1.00000000,5,0.00000023
2023-12-26,0.28935150,0.21558086,0.30880543,0.00000001,0.18626220,0.00328869,0.03743844,6,2,1.00000000,5,0.00000009
2023-12-27,0.28935150,0.21558094,0.30880541,0.00000000,0.18626214,0.00251995,0.03995840,6,2,1.00000000,5,0.00000008
2023-12-28,0.32229302,0.21499798,0.30880543,0.02171747,0.13218610,-0.00261811,0.03734028,6,3,0.99999998,5,0.05465901
2023-12-29,0.32229288,0.21499792,0.31147545,0.00000020,0.15123355,-0.00165591,0.03568437,6,2,1.00000000,5,0.02171747
2024-01-02,0.32227057,0.21500544,0.31148289,0.00000023,0.15124087,-0.00208935,0.03359503,6,2,1.00000000,5,0.00002231
2024-01-03,0.31900818,0.21500543,0.31474550,0.00000002,0.15124087,-0.00419077,0.02940426,6,2,0.99999999,5,0.00326261
2024-01-04,0.24048023,0.29351686,0.31475338,0.00000014,0.15124938,-0.00228378,0.02712048,6,0,0.99978856,5,0.07852795
2024-01-05,0.24048026,0.29351694,0.31475339,0.00000001,0.15124939,-0.00058716,0.02653332,6,2,1.00000000,5,0.00000013
2024-01-08,0.24048027,0.29351698,0.31475337,0.00000000,0.15124938,0.00160819,0.02814151,6,2,1.00000000,5,0.00000004
2024-01-09,0.24048027,0.29351701,0.31475336,0.00000000,0.15124936,0.00011876,0.02826027,6,2,0.99999874,5,0.00000004
