"date","dominant_regime","regime_prob","rolling_dd","daily_return","cum_return_window"
2008-08-28,1,1,-0.0251532257352324,0.000661861033540881,-0.00987821843124839
2008-08-29,1,1,-0.0251532257352324,-0.00371911840312782,-0.00626174494722866
2008-08-30,1,1,-0.0251532257352324,0,-0.00626174494722866
2012-10-25,4,1,-0.0251221138834989,0.000548492867702462,-0.029959907777347
2012-10-26,4,1,-0.0251221138834989,0.0029824688509335,-0.0206410042325645
2012-10-27,4,1,-0.0251221138834989,0,-0.0206410042325645
2012-10-28,3,0.999999999999775,-0.0251221138834989,0,-0.0206410042325645
2012-10-29,3,0.999999999999769,-0.0251221138834989,0.000253833470117988,-0.0194855274629176
2012-10-31,4,1,-0.0251221138834989,0.00424649068071758,-0.0148195420099306
2012-10-30,4,1,-0.0251221138834989,-0.000575326347115961,-0.0202847893379445
2008-09-02,1,1,-0.0250848893735406,-0.0125094985358856,-0.00338152620510006
2012-06-29,4,1,-0.025052707012571,0.0202090481965035,0.00317655440710121
2012-06-30,4,1,-0.025052707012571,0,0.00317655440710121
2012-07-01,3,0.999999999999773,-0.025052707012571,0,0.00317655440710121
2012-07-03,3,0.999999999999811,-0.025052707012571,0.0090790048028807,0.0110646533652593
2012-07-04,4,1,-0.025052707012571,0.000980789096239497,0.0107843866198849
2012-06-28,4,1,-0.025052707012571,-0.00747203702117294,-0.0147875097251373
2012-07-02,3,0.999999999999788,-0.025052707012571,-0.000175196369736692,0.00561815582785256
2012-07-05,4,1,-0.025052707012571,-0.0033893189631095,0.00388045773368396
2012-07-06,4,1,-0.025052707012571,-0.00720374522034716,-0.00555212547014063
2012-07-07,4,1,-0.025052707012571,0,-0.00555212547014063
2013-11-19,4,1,-0.0250254306376334,-0.000700923520704584,-0.0226923654153118
2000-04-17,2,0.999999986796648,-0.0250020372786301,0.00585844277531857,-0.0185387446821887
2000-04-16,2,0.999999940476289,-0.0250020372786301,0,-0.0297521506355965
2000-04-18,2,0.999999998467317,-0.0250020372786301,0.0065354502237363,-0.00844259712444066
2000-04-19,2,0.999999997142384,-0.0250020372786301,0.00206113496431734,-0.00264966343202457
2000-04-20,2,0.999998559347296,-0.0250020372786301,0.00092087501437122,-0.00073720342040572
2000-04-21,2,0.99999993994761,-0.0250020372786301,0.000120835043885731,-0.00464353797629666
2000-04-22,2,0.999999998193741,-0.0250020372786301,0,-0.00464353797629666
2000-04-23,2,0.99999999991412,-0.0250020372786301,0,-0.00464353797629666
2000-04-24,2,0.999999999632508,-0.0250020372786301,-0.000888685820630253,-0.00615935155451017
