date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K,regime,max_p,G,turnover
2022-03-30,0.19032364,0.64770448,0.14954510,0.01242430,0.00000248,0.00264545,0.65922000,3,3,0.99996590,5,0.00002621
2022-03-31,0.19021841,0.64770896,0.14955020,0.01251952,0.00000292,-0.00168196,0.65753804,3,3,0.99983418,5,0.00010524
2022-04-01,0.19019335,0.64771071,0.14955391,0.01253986,0.00000217,-0.00322959,0.65430845,3,3,0.99999982,5,0.00002580
2022-04-04,0.19017467,0.64771200,0.14955668,0.01255503,0.00000161,0.00063243,0.65494088,3,3,0.99843896,5,0.00001923
2022-04-05,0.19016961,0.64770601,0.14955321,0.01257117,0.00000000,-0.01142726,0.64351362,3,3,0.99977625,5,0.00001613
2022-04-06,0.19013845,0.64770805,0.14955754,0.01259488,0.00000107,-0.00550761,0.63800601,3,3,0.99999381,5,0.00003116
2022-04-07,0.19013131,0.64769939,0.14955259,0.01261671,0.00000000,-0.00135273,0.63665328,3,3,0.99996703,5,0.00002182
2022-04-08,0.19012476,0.64769128,0.14954800,0.01263595,0.00000000,-0.00263335,0.63401994,3,3,0.99921588,5,0.00001924
2022-04-11,0.19012475,0.64769126,0.14954799,0.01263599,0.00000000,-0.00685932,0.62716062,5,2,0.99994933,5,0.00000005
2022-04-12,0.19012474,0.64769124,0.14954798,0.01263604,0.00000000,0.00436531,0.63152592,5,2,0.99995380,5,0.00000005
2022-04-13,0.19011681,0.64767761,0.14954060,0.01266498,0.00000000,0.00565011,0.63717603,5,2,0.99990700,5,0.00002894
2022-04-14,0.19010095,0.64765033,0.14952582,0.01272289,0.00000000,-0.00942933,0.62774670,5,2,0.99999476,5,0.00005792
2022-04-15,0.19009780,0.64764539,0.14786255,0.01438994,0.00000431,0.00018530,0.62793200,5,2,0.99996864,5,0.00167136
2022-04-18,0.19009398,0.64764127,0.14786007,0.01440440,0.00000028,-0.00278121,0.62515079,3,3,0.99990628,5,0.00001446
2022-04-19,0.19008937,0.64763561,0.14785685,0.01441817,0.00000000,-0.00278377,0.62236703,3,3,0.99998452,5,0.00001377
2022-04-20,0.19009555,0.64764238,0.14786094,0.01439501,0.00000613,0.00043148,0.62279851,3,3,0.99999997,5,0.00002317
2022-04-21,0.19009910,0.64764627,0.14786329,0.01438168,0.00000966,-0.00757396,0.61522455,3,3,0.99999901,5,0.00001333
2022-04-22,0.19009515,0.64764197,0.14786093,0.01439941,0.00000254,-0.00651112,0.60871343,3,3,0.99999969,5,0.00001773
2022-04-25,0.19008461,0.64762384,0.14785114,0.01444041,0.00000000,0.00232429,0.61103771,5,2,1.00000000,5,0.00004100
2022-04-26,0.19007410,0.64760577,0.14784138,0.01447875,0.00000000,-0.00108737,0.60995034,5,2,0.99999999,5,0.00003834
2022-04-27,0.19007408,0.64760576,0.14395403,0.01836612,0.00000000,-0.00359399,0.60635635,5,2,0.99999996,5,0.00388737
2022-04-28,0.19007427,0.64760688,0.14193947,0.02037910,0.00000029,0.00325964,0.60961599,5,2,0.99999997,5,0.00201457
2022-04-29,0.19007445,0.64760676,0.13935889,0.02295954,0.00000036,-0.00742204,0.60219395,5,2,0.99999990,5,0.00258070
2022-05-02,0.19007445,0.64760676,0.13773140,0.02458716,0.00000023,-0.00766382,0.59453014,4,2,0.98253681,5,0.00162762
2022-05-03,0.19007336,0.64760736,0.13686296,0.02545633,0.00000000,0.00039559,0.59492573,4,2,0.96676391,5,0.00086976
2022-05-04,0.19006267,0.64758903,0.13685324,0.02549507,0.00000000,0.01034626,0.60527199,4,2,0.99439528,5,0.00003874
2022-05-05,0.19006266,0.64758903,0.13269558,0.02965273,0.00000000,-0.01540242,0.58986957,4,2,0.99960231,5,0.00415766
2022-05-06,0.19005362,0.64757356,0.13268745,0.02968537,0.00000000,-0.00322039,0.58664918,4,2,0.96844685,5,0.00003264
2022-05-09,0.19006907,0.64757681,0.13269206,0.02204215,0.00761992,-0.00704774,0.57960144,5,3,0.99997763,5,0.00764322
2022-05-10,0.19006804,0.64757678,0.13268983,0.02202035,0.00764501,0.00343210,0.58303354,5,3,0.99999991,5,0.00002509
2022-05-11,0.19006910,0.64757709,0.13269005,0.02069830,0.00896546,0.00308634,0.58611987,5,3,0.99999915,5,0.00132205
2022-05-12,0.19007324,0.64758161,0.13269276,0.02068284,0.00896956,0.00290479,0.58902466,5,3,0.99999966,5,0.00001546
2022-05-13,0.19007740,0.64758616,0.13269550,0.02066727,0.00897368,-0.00191163,0.58711304,5,3,0.99999653,5,0.00001557
2022-05-16,0.19008090,0.64758999,0.13269780,0.02065415,0.00897715,0.00378232,0.59089536,5,3,0.99999827,5,0.00001312
2022-05-17,0.19008657,0.64759620,0.13270153,0.02063293,0.00898278,-0.00236356,0.58853179,5,3,0.99979245,5,0.00002121
2022-05-18,0.19008996,0.64759991,0.13270376,0.02062023,0.00898614,-0.00338462,0.58514717,5,3,0.99999943,5,0.00001270
2022-05-19,0.19009347,0.64760376,0.13270607,0.02060707,0.00898963,0.00292907,0.58807625,5,3,0.99999997,5,0.00001317
2022-05-20,0.19009865,0.64760944,0.13270948,0.02058766,0.00899477,0.00440540,0.59248165,5,3,0.99996173,5,0.00001941
2022-05-23,0.19010363,0.64761489,0.13271276,0.02056902,0.00899971,0.00035725,0.59283891,3,3,0.99998683,5,0.00001865
2022-05-24,0.19010863,0.64762036,0.13271604,0.02055030,0.00900467,0.00506377,0.59790267,3,3,0.99998487,5,0.00001872
2022-05-25,0.19011313,0.64762530,0.13271901,0.02053342,0.00900914,0.00179941,0.59970208,3,3,0.99936692,5,0.00001688
2022-05-26,0.19011765,0.64763026,0.13272198,0.02051648,0.00901363,0.00359527,0.60329735,3,3,0.99510585,5,0.00001694
2022-05-27,0.19012131,0.64763427,0.13272439,0.02050275,0.00901727,0.00568872,0.60898607,3,3,0.99879696,5,0.00001373
2022-05-30,0.19012481,0.64763811,0.13272670,0.02048963,0.00902075,0.00056522,0.60955129,3,3,1.00000000,5,0.00001312
2022-05-31,0.19013046,0.64764431,0.13273042,0.02046844,0.00902637,-0.00406871,0.60548258,3,3,0.99999949,5,0.00002119
