"date","copper"
1987-12-03,2593.25
1987-12-04,2440.79
1987-12-07,2582.83
1987-12-08,2684.72
1987-12-09,2616.88
1987-12-10,2629.19
1987-12-11,2764.76
1987-12-14,2902.46
1987-12-15,2912.59
1987-12-16,2852.03
1987-12-17,2871.97
1987-12-18,2958.41
1987-12-21,3088.84
1987-12-22,3111.13
1987-12-23,3037.58
1987-12-24,3118.75
1987-12-25,NA
1987-12-28,NA
1987-12-29,3182.18
1987-12-30,3135.63
1987-12-31,3195.15
1988-01-01,NA
1988-01-04,3183.08
1988-01-05,2965.93
1988-01-06,2920.05
1988-01-07,2891.26
1988-01-08,2870.79
1988-01-11,2873.05
1988-01-12,2908.58
1988-01-13,2702.48
1988-01-14,2410.18
1988-01-15,NA
1988-01-18,2701.14
1988-01-19,2620.93
1988-01-20,2540.91
1988-01-21,2457.04
1988-01-22,2514.03
1988-01-25,2559.1
1988-01-26,2422.85
1988-01-27,2395.18
1988-01-28,2278.64
1988-01-29,2358.71
1988-02-01,2263.87
1988-02-02,2231.57
1988-02-03,2255.96
1988-02-04,2329.13
1988-02-05,2387.76
1988-02-08,2273.64
1988-02-09,2310.97
1988-02-10,2314.41
1988-02-11,2457.48
1988-02-12,2379.45
1988-02-15,2495.66
1988-02-16,2516
1988-02-17,2575.4
1988-02-18,2479.58
1988-02-19,2334.92
1988-02-22,2245.91
1988-02-23,2255.36
1988-02-24,2240.18
1988-02-25,2246.98
1988-02-26,2161.26
1988-02-29,2089.19
1988-03-01,2155.97
1988-03-02,2232.73
1988-03-03,2258.37
1988-03-04,2232.48
1988-03-07,2327.63
1988-03-08,2307.22
1988-03-09,2297.92
1988-03-10,2391.02
1988-03-11,2418.82
1988-03-14,2443.71
1988-03-15,2341.52
1988-03-16,2309.38
1988-03-17,2389.51
1988-03-18,2355.7
1988-03-21,2335.44
1988-03-22,2317.93
1988-03-23,2373.68
1988-03-24,2401.05
1988-03-25,2458.99
1988-03-28,2449.53
1988-03-29,2410.3
1988-03-30,2426.37
1988-03-31,2554.29
1988-04-01,NA
1988-04-04,NA
1988-04-05,2477.28
1988-04-06,2452.3
1988-04-07,2422.09
1988-04-08,2461.86
1988-04-11,2417.79
1988-04-12,2338.53
1988-04-13,2292.41
1988-04-14,2286.61
1988-04-15,2330.15
1988-04-18,2340.03
1988-04-19,2261.19
1988-04-20,2211.47
1988-04-21,2120.51
1988-04-22,2205.68
1988-04-25,2197.97
1988-04-26,2105.06
1988-04-27,2134.42
1988-04-28,2154.16
1988-04-29,NA
1988-05-02,NA
