,turnover
2022-04-19,1.5481022886190687e-07
2022-04-20,2.6437595106176826e-08
2022-04-21,5.6116190614435846e-08
2022-04-22,4.423486312313263e-08
2022-04-25,4.157886906333595e-06
2022-04-26,3.8428541095128995e-05
2022-04-27,3.0146279022980176e-05
2022-04-28,2.7058139383411043e-05
2022-04-29,4.929253257158635e-06
2022-05-02,0.0005084420475979323
2022-05-03,3.036171682545145e-05
2022-05-04,2.52303587794776e-05
2022-05-05,4.743151894881823e-05
2022-05-06,0.0029170779127410482
2022-05-09,0.006902535357734397
2022-05-10,1.0449048823386561e-05
2022-05-11,0.02505462936053627
2022-05-12,0.005905013176209235
2022-05-13,2.621321203371595e-05
2022-05-16,0.03726806466393951
2022-05-17,0.004958367962182693
2022-05-18,0.008475860521450357
2022-05-19,1.1251995279217294e-05
2022-05-20,1.0062922139885313e-05
2022-05-23,1.7207837123694514e-05
2022-05-24,0.002487980233590219
2022-05-25,3.266982464337187e-05
2022-05-26,3.2591283210969696e-06
2022-05-27,0.0023912854196694727
2022-05-30,3.178207463871985e-08
2022-05-31,2.5294868435943307e-08
2022-06-01,2.7071910851939052e-08
2022-06-02,3.498934762757866e-08
2022-06-03,2.403249389076878e-08
2022-06-06,2.5993717338301803e-08
2022-06-07,2.2927123928540016e-08
2022-06-08,2.3160750158013332e-08
2022-06-09,2.2914907471527357e-08
2022-06-10,2.641922600132851e-08
2022-06-13,3.316800505248444e-05
2022-06-14,0.012622690516074784
2022-06-15,2.1448143065832234e-05
2022-06-16,1.2726999278767544e-07
2022-06-17,1.3589191846202107e-05
2022-06-20,6.887658726417252e-06
2022-06-21,2.6769039155496964e-05
2022-06-22,3.5046403063556126e-06
2022-06-23,4.893831393419269e-06
2022-06-24,4.047755938090503e-05
2022-06-27,5.769357012651695e-07
2022-06-28,4.249115703573764e-08
2022-06-29,2.666369235124874e-08
2022-06-30,2.6923810833578976e-08
2022-07-01,1.688425290688301e-07
2022-07-04,4.6240776977996065e-08
2022-07-05,4.321200109541623e-08
2022-07-06,0.01531212341920117
2022-07-07,1.1683692875900162e-05
2022-07-08,5.40864856318074e-06
2022-07-11,2.3446394220469e-06
2022-07-12,2.3638384261625774e-06
2022-07-13,6.310900335815273e-06
2022-07-14,2.43721981388334e-06
2022-07-15,1.810687521535655e-05
2022-07-18,4.7144981140821385e-06
2022-07-19,6.662190995279541e-06
2022-07-20,9.689895207647523e-08
2022-07-21,4.6938570939179706e-08
2022-07-22,4.267667351581489e-08
2022-07-25,0.019152453674622368
2022-07-26,1.8289563453358926e-05
2022-07-27,0.008793388740177013
2022-07-28,7.92011577925256e-06
2022-07-29,2.539284934827476e-05
2022-08-01,7.0767024405593356e-06
2022-08-02,4.132348151809874e-06
2022-08-03,1.1843323787041519e-05
2022-08-04,2.813191452763139e-07
2022-08-05,1.719828718456807e-07
2022-08-08,8.523774006063967e-08
2022-08-09,1.2964968103268415e-07
2022-08-10,6.473137299334212e-06
2022-08-11,1.8525074389682312e-07
2022-08-12,6.374686108496269e-08
2022-08-15,7.521959699552383e-08
2022-08-16,7.496580316235235e-08
2022-08-17,5.976059488932428e-08
2022-08-18,2.952251160898145e-08
2022-08-19,3.2966494138697566e-08
2022-08-22,7.247926585547103e-08
2022-08-23,7.795841520755654e-08
2022-08-24,6.478740058492949e-08
2022-08-25,5.486481079830514e-08
2022-08-26,5.539857601435156e-08
2022-08-29,7.00400912818127e-08
2022-08-30,6.330776214491362e-08
2022-08-31,7.684196364430664e-08
2022-09-01,8.920011342441906e-08
2022-09-02,1.040992376670267e-06
2022-09-05,0.0015973137126454595
2022-09-06,0.002139140787427479
2022-09-07,0.002981223968367039
2022-09-08,1.217250252415934e-06
2022-09-09,2.6328101743748346e-07
2022-09-12,5.765036894602298e-08
2022-09-13,5.1485127005268616e-08
2022-09-14,5.9114375971155587e-08
2022-09-15,1.7511251159017487e-06
2022-09-16,0.004114107501236015
2022-09-19,0.00620403760666179
2022-09-20,2.4067516153597255e-06
2022-09-21,0.002328406487113659
2022-09-22,0.013344729514187062
2022-09-23,0.005568659767039763
2022-09-26,0.01764930111488677
2022-09-27,0.01652926201777607
2022-09-28,3.2082435437452705e-08
2022-09-29,2.511117620587755e-05
2022-09-30,0.0019364995960973708
2022-10-03,1.2486878981196099e-05
2022-10-04,4.356758567136631e-06
2022-10-05,1.8728263361036386e-06
2022-10-06,3.943598141425903e-07
2022-10-07,2.2781654404867022e-06
2022-10-10,6.242815581983079e-06
2022-10-11,0.008922449931408661
2022-10-12,0.0037008346167256897
2022-10-13,0.002642829406408179
2022-10-14,3.676104170374783e-08
2022-10-17,2.544467493648117e-08
2022-10-18,9.875488030108848e-08
2022-10-19,1.925035619382287e-07
2022-10-20,2.5681995191942364e-07
2022-10-21,2.754443212162061e-07
2022-10-24,9.21726032859782e-08
2022-10-25,1.0185189179903742e-07
2022-10-26,3.690297070702009e-08
2022-10-27,9.434932033446086e-06
2022-10-28,4.293667182214689e-08
2022-10-31,2.24929270565416e-05
2022-11-01,5.344083166269886e-08
2022-11-02,5.1623141063966704e-08
2022-11-03,1.9114386165183794e-07
2022-11-04,1.2017423983712305e-07
2022-11-07,4.9180732871606514e-08
2022-11-08,5.440607317788726e-08
2022-11-09,4.1382668586366356e-06
2022-11-10,2.0254300299063334e-06
2022-11-11,0.056041063428886186
2022-11-14,8.47842763257106e-06
2022-11-15,8.184763785641518e-06
2022-11-16,5.689463043813674e-07
2022-11-17,1.8759312873165464e-07
2022-11-18,2.093557011421319e-07
2022-11-21,1.7202088687605437e-07
2022-11-22,2.069007802990553e-07
2022-11-23,1.6752028784510445e-07
2022-11-24,1.5097383662471525e-07
2022-11-25,8.281544922036399e-08
2022-11-28,8.253748864755371e-08
2022-11-29,9.134818945876848e-08
2022-11-30,8.884738335282272e-08
2022-12-01,8.372697193951237e-08
2022-12-02,7.585866195318423e-08
2022-12-05,7.720760189923561e-08
2022-12-06,7.805026840521035e-08
2022-12-07,1.0674093452377353e-07
2022-12-08,1.1357623374881994e-07
2022-12-09,9.327401729803288e-08
2022-12-12,8.779988535699129e-08
2022-12-13,7.931693747807265e-08
2022-12-14,6.992928696051069e-08
2022-12-15,6.60431469434595e-08
2022-12-16,1.1436955265915617e-07
2022-12-19,1.3595923751366396e-07
2022-12-20,2.0299840610597596e-06
2022-12-21,1.6681107285846722e-07
2022-12-22,7.782776497599651e-08
2022-12-23,1.1554458855062092e-07
