,turnover
2007-06-18,1.3128715796485724e-06
2007-06-19,1.40651772584377e-06
2007-06-20,1.4874889070967678e-06
2007-06-21,1.6107462839573539e-06
2007-06-22,1.703537727784643e-06
2007-06-25,1.8743508881750859e-06
2007-06-26,1.9421324565227494e-06
2007-06-27,2.0520616302449612e-06
2007-06-28,2.1664942976215573e-06
2007-06-29,2.255613008948776e-06
2007-07-02,2.34664534464607e-06
2007-07-03,2.480023340439841e-06
2007-07-04,2.6473362769348363e-06
2007-07-05,2.8092137301614917e-06
2007-07-06,3.048027409805615e-06
2007-07-09,3.3538521313526692e-06
2007-07-10,3.659718211899282e-06
2007-07-11,3.990013484080762e-06
2007-07-12,4.321431930756625e-06
2007-07-13,4.838616820514868e-06
2007-07-16,5.187238198842842e-06
2007-07-17,5.212576854252832e-06
2007-07-18,5.22501803875558e-06
2007-07-19,5.1382455979395725e-06
2007-07-20,5.055031651862024e-06
2007-07-23,5.022913460373674e-06
2007-07-24,4.961556241824677e-06
2007-07-25,5.136868458727878e-06
2007-07-26,5.060306692998562e-06
2007-07-27,5.255466674774362e-06
2007-07-30,5.229995559172251e-06
2007-07-31,5.159944615494572e-06
2007-08-01,5.007931170825791e-06
2007-08-02,5.141976776187884e-06
2007-08-03,4.9730385603720395e-06
2007-08-06,0.013177337923978464
2007-08-07,1.454137014057083e-05
2007-08-08,7.452485568886641e-05
2007-08-09,1.4099796437079537e-05
2007-08-10,1.400058686502198e-05
2007-08-13,0.08472371050431897
2007-08-14,0.00035562333463114854
2007-08-15,0.0007923427129806239
2007-08-16,0.0007171517819145497
2007-08-17,0.001009814538555285
2007-08-20,0.001638212215987634
2007-08-21,0.00035170842663889354
2007-08-22,0.0004963621977134222
2007-08-23,0.000296675023570607
2007-08-24,0.0004945858461373014
2007-08-27,0.002640802827383635
2007-08-28,1.9625559932966857e-05
2007-08-29,2.0490464412152576e-05
2007-08-30,0.0010552704471419316
2007-08-31,1.8895736178178857e-05
2007-09-03,1.985409696340229e-05
2007-09-04,1.8581052256605446e-05
2007-09-05,1.9098415553045478e-05
2007-09-06,1.853934781398045e-05
2007-09-07,1.8340138878737006e-05
2007-09-10,1.83565328197334e-05
2007-09-11,0.0002818964099560693
2007-09-12,0.0003315120951922941
2007-09-13,0.0001666802359554173
2007-09-14,1.9695218740393983e-05
2007-09-17,1.846663356530609e-05
2007-09-18,5.155332406117305e-05
2007-09-19,2.125646857766353e-05
2007-09-20,1.971583952813105e-05
2007-09-21,2.3122947228587654e-05
2007-09-24,2.02217631743995e-05
2007-09-25,2.3324852459247203e-05
2007-09-26,1.933637809773195e-05
2007-09-27,2.2730614246142117e-05
2007-09-28,1.430939313589591e-05
2007-10-01,1.402236255746217e-05
2007-10-02,1.962023497884685e-05
2007-10-03,1.953421225496868e-05
2007-10-04,1.89682543906243e-05
2007-10-05,1.8491147238550165e-05
2007-10-08,1.7528401103035496e-05
2007-10-09,1.6503030752734738e-05
2007-10-10,1.5959392112890186e-05
2007-10-11,1.5093541808657712e-05
2007-10-12,1.4942567741878243e-05
2007-10-15,1.3918616451353422e-05
2007-10-16,1.8643059227108072e-05
2007-10-17,1.6559242700421584e-05
2007-10-18,1.5078772707143029e-05
2007-10-19,1.851342854956861e-05
2007-10-22,1.7171650065088417e-05
2007-10-23,1.5979239976055687e-05
2007-10-24,1.889404824105892e-05
2007-10-25,1.8428698942564437e-05
2007-10-26,1.9066353104606193e-05
2007-10-29,0.048688032979282994
2007-10-30,1.5195294352073063e-05
2007-10-31,1.8464078382178506e-05
2007-11-01,1.7416818640623305e-05
2007-11-02,1.3937027423020776e-05
2007-11-05,1.8465176305101222e-05
2007-11-06,1.4336233627829098e-05
2007-11-07,1.796835439674474e-05
2007-11-08,1.9861840973751932e-05
2007-11-09,1.4133307709277704e-05
2007-11-12,1.4807367220946721e-05
2007-11-13,1.7646054020315632e-05
2007-11-14,1.820691644115538e-05
2007-11-15,1.472086736008238e-05
2007-11-16,1.2821716282914591e-05
2007-11-19,1.4922573178585002e-05
2007-11-20,1.55020010765769e-05
2007-11-21,0.07935806530540528
2007-11-22,0.000544483456236795
2007-11-23,0.00387041295301677
2007-11-26,0.14904595236323426
2007-11-27,0.0014948515165285215
2007-11-28,0.0008192878893627239
2007-11-29,4.6512001056600186e-05
2007-11-30,3.9479737487359585e-05
2007-12-03,8.93158086984922e-06
2007-12-04,9.414930167362083e-06
2007-12-05,5.3869500370378786e-05
2007-12-06,4.303416935938117e-05
2007-12-07,4.6689360539236825e-05
2007-12-10,8.94333340556221e-06
2007-12-11,7.251212198832074e-06
2007-12-12,3.612537152789279e-05
2007-12-13,5.3774596836387384e-05
2007-12-14,5.3888278798208576e-05
2007-12-17,4.173053307177025e-05
2007-12-18,5.509116089216977e-06
2007-12-19,2.696105061504551e-05
2007-12-20,3.086907435801402e-05
2007-12-21,2.794782868299075e-05
2007-12-24,0.0018811832051405168
2007-12-25,0.005731545049642799
2007-12-26,0.005636708123522877
2007-12-27,0.005281933501690993
2007-12-28,0.005023145878295107
2007-12-31,0.0047235607973756056
2008-01-01,0.004589387504666883
2008-01-02,0.0044208252242715
2008-01-03,0.004035188850954524
2008-01-04,0.00376980553601939
2008-01-07,0.0034021652515237913
2008-01-08,0.003334628490994425
2008-01-09,0.002792293366791766
2008-01-10,0.0028191210496235687
2008-01-11,0.0025200717019371486
2008-01-14,0.002422778920164751
2008-01-15,0.0022791732186610396
2008-01-16,0.002019876034004997
2008-01-17,0.002055998625122027
2008-01-18,0.0017003091942839887
2008-01-21,0.0012592629034680995
2008-01-22,0.0010015330321648946
2008-01-23,0.0010656557629577963
2008-01-24,0.0014815576965461832
2008-01-25,2.051525122730158e-05
2008-01-28,5.125241290832722e-06
2008-01-29,8.667329905108437e-06
2008-01-30,1.4748574819899225e-05
2008-01-31,5.4452255184556306e-05
2008-02-01,0.004542544744715491
2008-02-04,0.007323201861355962
2008-02-05,0.006910565005372318
2008-02-06,0.006586798748703142
2008-02-07,0.00647475547953942
2008-02-08,0.0060738210633699925
2008-02-11,0.005793622274614596
2008-02-12,0.005216457553899787
2008-02-13,0.004489844643454415
2008-02-14,0.003994585043240347
2008-02-15,0.004012012118381879
2008-02-18,0.003903625756653515
2008-02-19,0.003857611272366853
2008-02-20,0.004311358863255818
2008-02-21,0.004347641369080595
2008-02-22,0.004250392684895364
2008-02-25,0.00397157335014897
2008-02-26,0.003442879592942988
2008-02-27,0.003223773645822468
2008-02-28,0.0031574177642966217
2008-02-29,0.003147652374031954
2008-03-03,0.003408658015801975
2008-03-04,0.003260313855199415
2008-03-05,0.0026082462417342934
2008-03-06,0.00023783414159162422
2008-03-07,1.5698847044469373e-05
2008-03-10,1.599787334699565e-05
2008-03-11,3.3030845135048614e-05
2008-03-12,1.9271329474809806e-05
2008-03-13,0.0016433675345063864
2008-03-14,0.0023287397573891304
2008-03-17,0.0021095306073491225
2008-03-18,0.0029538477444852
2008-03-19,0.002688982677311936
2008-03-20,0.001307021292238609
2008-03-21,0.0006038495002337323
2008-03-24,0.0007776349363296924
2008-03-25,0.0010942509621317382
2008-03-26,0.0015571848853144577
2008-03-27,0.002110404118732108
2008-03-28,0.0019329968595997575
2008-03-31,0.002228055059368601
2008-04-01,0.0018194776487436995
2008-04-02,0.0005253840094133808
2008-04-03,0.0008699207714577748
2008-04-04,1.180665266323858e-05
2008-04-07,1.51284064151173e-05
2008-04-08,2.554311031015852e-05
2008-04-09,2.5688604783168812e-05
2008-04-10,1.3926867561336173e-05
2008-04-11,0.00023609074751101435
2008-04-14,0.00018216000991656323
2008-04-15,0.00022295048069778745
2008-04-16,0.00014259771020835323
2008-04-17,0.00016133093101722306
2008-04-18,2.332705118479985e-05
