,macro_stress
2009-07-31,0.6588439916668275
2009-08-03,0.6590709699845458
2009-08-04,0.6589537799846151
2009-08-05,0.658576547793208
2009-08-06,0.6580660278323628
2009-08-07,0.6575494461638359
2009-08-10,0.6570451589367255
2009-08-11,0.6565354102272228
2009-08-12,0.6563404723045128
2009-08-13,0.6565270569965898
2009-08-14,0.6560497164719361
2009-08-17,0.6562570653951871
2009-08-18,0.6567637955687119
2009-08-19,0.6562865924877079
2009-08-20,0.6575271527582983
2009-08-21,0.6570987326876826
2009-08-24,0.6566750336134068
2009-08-25,0.6561657744339416
2009-08-26,0.6556859733041834
2009-08-27,0.6553622754005906
2009-08-28,0.654854986386031
2009-08-31,0.6546393899807097
2009-09-01,0.6550391442300171
2009-09-02,0.6546612334119183
2009-09-03,0.6541883579242004
2009-09-04,0.6536822732880151
2009-09-07,0.6531813166236553
2009-09-08,0.6526846432039916
2009-09-09,0.6529057738890968
2009-09-10,0.652466802230756
2009-09-11,0.6520151670381767
2009-09-14,0.6555774316118631
2009-09-15,0.6553174708651589
2009-09-16,0.654806167201496
2009-09-17,0.6549603116339581
2009-09-18,0.6549966651614556
2009-09-21,0.6545924592090511
2009-09-22,0.6546048331349011
2009-09-23,0.6544875923814266
2009-09-24,0.6546620237365577
2009-09-25,0.6551397323648015
2009-09-28,0.6546329693061107
2009-09-29,0.6544637497485196
2009-09-30,0.6540086190096185
2009-10-01,0.6536389137193556
2009-10-02,0.6531333360516597
2009-10-05,0.6526603234684459
2009-10-06,0.6521651896201726
2009-10-07,0.6534652557614224
2009-10-08,0.6529622124559215
2009-10-09,0.6525747599522093
2009-10-12,0.6520738207613459
2009-10-13,0.6518511722720599
2009-10-14,0.6513574119516624
2009-10-15,0.6510831124397171
2009-10-16,0.6505858132751644
2009-10-19,0.6502381490320217
2009-10-20,0.6501223086529658
2009-10-21,0.6496314132505374
2009-10-22,0.6492047418170502
2009-10-23,0.6487734587181669
2009-10-26,0.6485387409179278
2009-10-27,0.6487809616487668
2009-10-28,0.6483653172185599
2009-10-29,0.6485094274125277
2009-10-30,0.6491020761691715
2009-11-02,0.6493680864883787
2009-11-03,0.649097478251005
2009-11-04,0.6488304566537142
2009-11-05,0.6486096469380491
2009-11-06,0.6481554291540136
2009-11-09,0.6478184675746148
2009-11-10,0.647953398138228
2009-11-11,0.6474616508826284
2009-11-12,0.6470083168807951
2009-11-13,0.6470243947991788
2009-11-16,0.6466224938218205
2009-11-17,0.6474559932963823
2009-11-18,0.6469931254827443
2009-11-19,0.6465385739678481
2009-11-20,0.6464251482699993
2009-11-23,0.6454388643943014
2009-11-24,0.6457457915430327
2009-11-25,0.6455126309125427
2009-11-26,0.6453518042617331
2009-11-27,0.64486982191587
2009-11-30,0.6445335398628762
2009-12-01,0.6441730473382419
2009-12-02,0.643926276953047
2009-12-03,0.6434783628812543
2009-12-04,0.6430009257791306
2009-12-07,0.6430924762776165
2009-12-08,0.6426213688012613
2009-12-09,0.6429179823447785
2009-12-10,0.6425445254658502
2009-12-11,0.6424240013837205
2009-12-14,0.6421704668006375
2009-12-15,0.6420902075511826
2009-12-16,0.6416106266624675
2009-12-17,0.6415843449584967
2009-12-18,0.6420032994855257
2009-12-21,0.6414692482429086
2009-12-22,0.6408711412105242
2009-12-23,0.6389400482749339
2009-12-24,0.640746024756029
2009-12-25,0.6352974167212168
2009-12-28,0.6338427005698304
2009-12-29,0.6383757130432751
2009-12-30,0.6302244273354919
2009-12-31,0.6272396254621956
2010-01-01,0.6194932505132432
2010-01-04,0.6191990114529377
2010-01-05,0.6365991160408678
2010-01-06,0.636977624988463
2010-01-07,0.6374903277351657
2010-01-08,0.6370251835733862
2010-01-11,0.6365537014656126
2010-01-12,0.6360912125877917
2010-01-13,0.6359108591025556
2010-01-14,0.6335001684417704
2010-01-15,0.6310882207199106
2010-01-18,0.6329327134028869
2010-01-19,0.6190921610300085
2010-01-20,0.6217501447636536
2010-01-21,0.6211498695983281
2010-01-22,0.6015484557600549
2010-01-25,0.5355269372208169
2010-01-26,0.43249576267929024
2010-01-27,0.3318243428019493
2010-01-28,0.26899402068229394
2010-01-29,0.26551520279943785
2010-02-01,0.2632993490818596
2010-02-02,0.28234083016958894
2010-02-03,0.28595342660729206
2010-02-04,0.25360187707757054
2010-02-05,0.37906185742396636
2010-02-08,0.27514228664921514
2010-02-09,0.2736897669633263
2010-02-10,0.28897211737712925
2010-02-11,0.2594594090964278
2010-02-12,0.25822827647913404
2010-02-15,0.2557766339085389
2010-02-16,0.25485423645559185
2010-02-17,0.29513026426503797
2010-02-18,0.2602281840534588
2010-02-19,0.26843669980661927
2010-02-22,0.26986529568642204
2010-02-23,0.26705552804714355
2010-02-24,0.2942456320148742
2010-02-25,0.2701885665729829
2010-02-26,0.2811921840358185
2010-03-01,0.2720927631458789
2010-03-02,0.2731992252476567
2010-03-03,0.26542727063840416
2010-03-04,0.26684340132255746
2010-03-05,0.2817899772459344
2010-03-08,0.3169735938273246
2010-03-09,0.30800372972506185
2010-03-10,0.28475295025107583
2010-03-11,0.29137099324880994
2010-03-12,0.2771892993436097
2010-03-15,0.26783778814034465
2010-03-16,0.26339231898167337
2010-03-17,0.2609245982688859
2010-03-18,0.2566074299865091
2010-03-19,0.2537521551582965
2010-03-22,0.2533273624388741
2010-03-23,0.2544837315296603
2010-03-24,0.2601883238944355
2010-03-25,0.28440970074
2010-03-26,0.2912807893440955
2010-03-29,0.297176226487341
2010-03-30,0.2970782991659424
2010-03-31,0.27458195622410997
2010-04-01,0.2724841205898605
2010-04-02,0.2830511895773959
2010-04-05,0.2680274743157228
2010-04-06,0.2819936391779252
2010-04-07,0.2638248522376322
2010-04-08,0.2679380283561559
2010-04-09,0.2573031121874231
2010-04-12,0.25299689893502214
2010-04-13,0.25330088442525545
2010-04-14,0.25137582747028275
2010-04-15,0.2561105451518385
2010-04-16,0.2541157739609684
2010-04-19,0.2614022538478485
2010-04-20,0.2542167267519902
2010-04-21,0.2530452107879222
2010-04-22,0.25384343006933585
2010-04-23,0.25463332316827814
2010-04-26,0.2604214383329164
2010-04-27,0.2536591471774278
2010-04-28,0.25102180031121635
2010-04-29,0.2531180716746317
2010-04-30,0.2535535052423232
2010-05-03,0.2514048390128568
2010-05-04,0.25589968634296695
2010-05-05,0.2647758545155495
2010-05-06,0.255070487351424
2010-05-07,0.26723871509875624
2010-05-10,0.24780056193370345
2010-05-11,0.24905636792241348
2010-05-12,0.24866480100510116
2010-05-13,0.24839333650775072
2010-05-14,0.24850256738945659
2010-05-17,0.24993563525586188
2010-05-18,0.24972531727248284
2010-05-19,0.24951756909568357
2010-05-20,0.2511337157887018
2010-05-21,0.2527588452461068
2010-05-24,0.2525197602122145
2010-05-25,0.25238172490470656
2010-05-26,0.2535564557327572
2010-05-27,0.30211707364095175
2010-05-28,0.2650526555609737
2010-05-31,0.2535193522360236
2010-06-01,0.25319600223857264
2010-06-02,0.2528685767497421
2010-06-03,0.2526137019331719
2010-06-04,0.25236445638753285
2010-06-07,0.2557233124552506
2010-06-08,0.2522181236135441
2010-06-09,0.2519107724149389
2010-06-10,0.2517376244792201
2010-06-11,0.2549569087219924
2010-06-14,0.25108606504836245
2010-06-15,0.25079656013744783
2010-06-16,0.2508883753250234
2010-06-17,0.2505901036422574
2010-06-18,0.2507079510623277
2010-06-21,0.25038181918795044
2010-06-22,0.2501340668909182
2010-06-23,0.24981884643852428
2010-06-24,0.2501742220852167
2010-06-25,0.24992184909721665
2010-06-28,0.24988755196348364
2010-06-29,0.2496005409596697
2010-06-30,0.25032483408612743
2010-07-01,0.2500022154164354
2010-07-02,0.25282298757260846
2010-07-05,0.25251690914821734
2010-07-06,0.2521951489827465
2010-07-07,0.2519251810609937
2010-07-08,0.2520259095881605
2010-07-09,0.25180032606521446
2010-07-12,0.2517272601690048
2010-07-13,0.2516463427656153
2010-07-14,0.2524058841140718
2010-07-15,0.2520835836399574
2010-07-16,0.25188488485758137
2010-07-19,0.2522091376082541
2010-07-20,0.25192884170533997
2010-07-21,0.25180993085110986
2010-07-22,0.25179812160280773
2010-07-23,0.25281094271538873
2010-07-26,0.2522182971644001
2010-07-27,0.2519421547586814
2010-07-28,0.25329290026289447
2010-07-29,0.253197609088226
2010-07-30,0.25427407949405995
2010-08-02,0.2576526816183532
2010-08-03,0.31639076686441214
2010-08-04,0.29358566279540765
2010-08-05,0.2691235481209656
2010-08-06,0.26405200710226906
2010-08-09,0.26372689336713384
2010-08-10,0.261635920471631
2010-08-11,0.2600558882686623
2010-08-12,0.26998106915989883
2010-08-13,0.2667656530570759
2010-08-16,0.26434351266877726
2010-08-17,0.26639612305564486
2010-08-18,0.2671522537549479
